date,agent,call_type,shift,duration_min,crm_response_s,skill_match,delay_cause,resolved,phase,week
2025-04-01,Agent_11,General Inquiry,Afternoon,5.31,2.41,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_21,Refund,Afternoon,6.14,2.04,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_17,Technical,Morning,8.84,2.72,True,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_5,Account,Morning,5.66,1.9,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_7,Account,Afternoon,8.66,1.31,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_4,Billing,Night,5.84,3.24,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_8,General Inquiry,Afternoon,5.74,2.96,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_13,Billing,Night,6.64,3.08,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_7,Account,Night,8.55,1.6,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_12,Account,Night,6.8,2.86,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_7,Billing,Afternoon,5.45,1.12,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_4,Refund,Morning,7.44,1.71,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_2,Account,Morning,8.3,1.02,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_23,General Inquiry,Morning,5.19,2.11,False,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_8,Technical,Afternoon,6.34,1.59,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_20,Technical,Night,7.96,2.48,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_17,Refund,Morning,4.65,3.74,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_6,Billing,Afternoon,4.18,3.29,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_11,General Inquiry,Afternoon,4.25,4.43,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_26,Technical,Morning,10.2,3.04,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_28,General Inquiry,Morning,4.24,1.47,True,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_17,Billing,Morning,7.7,2.76,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_3,General Inquiry,Morning,6.58,3.15,True,CRM Slowness,False,Baseline,2025-03-31
2025-04-01,Agent_25,Billing,Morning,8.29,3.55,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_21,Billing,Morning,8.65,1.54,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_22,Billing,Night,8.3,2.78,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_1,Billing,Afternoon,7.84,2.54,True,Script Complexity,False,Baseline,2025-03-31
2025-04-01,Agent_21,General Inquiry,Afternoon,5.31,3.11,True,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_29,Technical,Night,5.14,2.71,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_24,Billing,Afternoon,4.48,1.64,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_22,Technical,Morning,7.43,2.8,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_13,Billing,Morning,6.92,2.57,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_26,Technical,Morning,8.98,2.03,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_12,Refund,Afternoon,10.18,2.13,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_18,Technical,Morning,6.77,2.06,True,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_23,Technical,Afternoon,5.83,2.38,True,Training Gap,True,Baseline,2025-03-31
